id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1433418347157147655,1433195737907564545,2021-09-02 08:15:40 Central Daylight Time,2021-09-02,08:15:40,-0500,295218901,vitalikbuterin,vitalik.eth,,@satofishi I would much rather see the BTC community come to appreciate the virtues of PoS on their own ☺️,en,[],[],[],0,15,163,[],[],https://twitter.com/VitalikButerin/status/1433418347157147655,False,,0,,,,,,,,"[{'screen_name': 'satofishi', 'name': 'Chun', 'id': '843586794155196416'}]",,,,
1433409190337277958,1433195737907564545,2021-09-02 07:39:17 Central Daylight Time,2021-09-02,07:39:17,-0500,295218901,vitalikbuterin,vitalik.eth,,"@icebearhww The answer to books vs music is different! Back in ~2011-12 I read the standard Austrian econ canon (Mises, Rothbard...) and that shaped my thinking a lot and made me appreciate BTC early on, though since then I've moved further away from that school of thought in particular",en,[],[],[],1,9,40,[],[],https://twitter.com/VitalikButerin/status/1433409190337277958,False,,0,,,,,,,,"[{'screen_name': 'icebearhww', 'name': 'Hsiao-Wei Wang', 'id': '935739736697778176'}]",,,,
1433401546461495296,1433195737907564545,2021-09-02 07:08:54 Central Daylight Time,2021-09-02,07:08:54,-0500,295218901,vitalikbuterin,vitalik.eth,,"@jemenger @ESYudkowsky @GiveWell But also important are ""anti-influences"", like seeing how toxic BTC maximalism was becoming even back in 2013 and wanting to build a culture that's far away from being like that.",en,[],[],[],1,5,57,[],[],https://twitter.com/VitalikButerin/status/1433401546461495296,False,,0,,,,,,,,"[{'screen_name': 'jemenger', 'name': 'Je-Meng', 'id': '1111991'}, {'screen_name': 'ESYudkowsky', 'name': 'Eliezer Yudkowsky', 'id': '2595244026'}, {'screen_name': 'GiveWell', 'name': 'GiveWell', 'id': '34650660'}]",,,,
1433198571117895680,1433195737907564545,2021-09-01 17:42:21 Central Daylight Time,2021-09-01,17:42:21,-0500,295218901,vitalikbuterin,vitalik.eth,,"@tylercowen The latter because I'm thinking about stablecoins. Some people think stablecoins are purely transition tech, and post-hypercryptoization BTC or ETH will be stable. I think there's a big chance this is wrong and even post-hypercryptoization we would still need explicit stablecoins",en,[],[],[],1,133,995,[],[],https://twitter.com/VitalikButerin/status/1433198571117895680,False,,0,,,,,,,,"[{'screen_name': 'tylercowen', 'name': 'tylercowen', 'id': '8496762'}]",,,,
1433197231020986370,1433195737907564545,2021-09-01 17:37:02 Central Daylight Time,2021-09-01,17:37:02,-0500,295218901,vitalikbuterin,vitalik.eth,,"@tylercowen I feel like I've been doing less ""monetary theory"" per se than a few years ago! I just don't rate it as anywhere close to the world's most important problem the way I would 10 years ago or the way many BTC people do today.",en,[],[],[],1,62,767,[],[],https://twitter.com/VitalikButerin/status/1433197231020986370,False,,0,,,,,,,,"[{'screen_name': 'tylercowen', 'name': 'tylercowen', 'id': '8496762'}]",,,,
1338394465954754560,1338387446690549760,2020-12-14 02:04:41 Central Standard Time,2020-12-14,02:04:41,-0500,295218901,vitalikbuterin,vitalik.eth,,"@BitcoinMoon11 7 years ago, before ethereum even began, I had only a few thousand dollars of net worth. I nevertheless sold half my bitcoin to make sure that I would not be broke if BTC went to zero.",en,[],[],[],48,39,703,[],[],https://twitter.com/VitalikButerin/status/1338394465954754560,False,,0,,,,,,,,"[{'screen_name': 'BitcoinMoon11', 'name': 'Shill Gates', 'id': '1298403433565900801'}]",,,,
1333551057222258692,1333419757912137730,2020-11-30 17:18:42 Central Standard Time,2020-11-30,17:18:42,-0500,295218901,vitalikbuterin,vitalik.eth,,"@GeorgeSelgin ""Is BTC money"" is not a question of economics, it's a question of signaling: ""do bitcoiners get to plant their flag on this proud metaphorical hill where USD, EUR, CNY live""?  If you want to talk about economics, you have to credibly signal that you're not talking about the hill.",en,[],[],[],6,1,25,[],[],https://twitter.com/VitalikButerin/status/1333551057222258692,False,,0,,,,,,,,"[{'screen_name': 'GeorgeSelgin', 'name': 'George Selgin', 'id': '343019754'}]",,,,
1332843612627865601,1332554781466845184,2020-11-28 18:27:34 Central Standard Time,2020-11-28,18:27:34,-0500,295218901,vitalikbuterin,vitalik.eth,,"@JavierGonzalez @btcfork @CollinEnstad Yeah, I get that what I'm saying is the social contract of ETH, and it's not the social contract of BCH. It *is* arguably the social contract of BTC (see: their support of UASFs) though. And maybe it's the social contract of BCHA too?",en,[],[],[],1,0,2,[],[],https://twitter.com/VitalikButerin/status/1332843612627865601,False,,0,,,,,,,,"[{'screen_name': 'JavierGonzalez', 'name': 'Javier González González', 'id': '6678852'}, {'screen_name': 'btcfork', 'name': '🔱 Bitcoin=Cash', 'id': '761458169386246144'}, {'screen_name': 'CollinEnstad', 'name': 'Collin Enstad', 'id': '162734554'}]",,,,
1331444354636869634,1331418325017112577,2020-11-24 21:47:25 Central Standard Time,2020-11-24,21:47:25,-0500,295218901,vitalikbuterin,vitalik.eth,,"@gladstein @deeeedle @lopp @twobitidiot @HRF Also there is a systemic concern: if the bulk of BTC economic activity is institutional then those institutions may well become a de facto governance layer and could be co-opted by nation state actors. Dissenters could fork off, but keep what percent of the value of their assets?",en,[],[],[],19,6,86,[],[],https://twitter.com/VitalikButerin/status/1331444354636869634,False,,0,,,,,,,,"[{'screen_name': 'gladstein', 'name': 'Alex Gladstein 🌋 ⚡', 'id': '19721574'}, {'screen_name': 'deeeedle', 'name': 'Dan Edlebeck ⚛️', 'id': '20197421'}, {'screen_name': 'lopp', 'name': 'Jameson Lopp', 'id': '23618940'}, {'screen_name': 'twobitidiot', 'name': 'Ryan Selkis', 'id': '2193616844'}, {'screen_name': 'HRF', 'name': 'Human Rights Foundation', 'id': '57041360'}]",,,,
1330403226101841920,1330237746275880972,2020-11-22 00:50:21 Central Standard Time,2020-11-22,00:50:21,-0500,295218901,vitalikbuterin,vitalik.eth,,"@Excellion Dude, you're literally part of a company that created a proprietary consortium chain for people to stick their tokens onto that only needs to exist because BTC (and even trustless L2s on top of it) don't have the scalability or functionality to do so natively.",en,[],[],[],8,106,1395,[],[],https://twitter.com/VitalikButerin/status/1330403226101841920,False,,0,,,,,,,,"[{'screen_name': 'Excellion', 'name': 'Samson Mow', 'id': '14654494'}]",,,,
1326480003396067328,1326469819869372418,2020-11-11 05:00:52 Central Standard Time,2020-11-11,05:00:52,-0500,295218901,vitalikbuterin,vitalik.eth,,@mysticryuujin I think it's BTC people that call them lite.,en,[],[],[],1,0,7,[],[],https://twitter.com/VitalikButerin/status/1326480003396067328,False,,0,,,,,,,,"[{'screen_name': 'mysticryuujin', 'name': 'ChasΞ Wright 🦇🔊', 'id': '141825371'}]",,,,
1324673945467936769,1324665619971629058,2020-11-06 05:24:14 Central Standard Time,2020-11-06,05:24:14,-0500,295218901,vitalikbuterin,vitalik.eth,,@blogofjake &gt; I was under the impression one would need to acquire &gt;50% of all existing BTC  No. You only need to acquire an amount roughly equal to a few months to a year worth of mining revenue.,en,[],[],[],1,0,2,[],[],https://twitter.com/VitalikButerin/status/1324673945467936769,False,,0,,,,,,,,"[{'screen_name': 'blogofjake', 'name': 'Jake', 'id': '1220091614904881153'}]",,,,
1321378140715769858,1321364232902832130,2020-10-28 04:07:53 Central Daylight Time,2020-10-28,04:07:53,-0500,295218901,vitalikbuterin,vitalik.eth,,@austerity_sucks @zhusu I'm still pro-crypto because my own vision for what a crypto-dominant world would looks like does not involve crypto becoming the UoA. We already see things being paid in BTC/ETH but denominated in USD.,en,[],[],[],1,1,5,[],[],https://twitter.com/VitalikButerin/status/1321378140715769858,False,,0,,,,,,,,"[{'screen_name': 'austerity_sucks', 'name': 'Austerity Sucks', 'id': '624019090'}, {'screen_name': 'zhusu', 'name': 'Zhu Su 🔺', 'id': '79714172'}]",,,,
1319159434489155584,1318940081869131776,2020-10-22 01:11:32 Central Daylight Time,2020-10-22,01:11:32,-0500,295218901,vitalikbuterin,vitalik.eth,,"@eric_lombrozo @danheld &gt; It seems you are confusing prescriptive and descriptive terminology.  I'd say pointing out a correlation between prescriptive views and descriptive views that I noticed.  eg. I haven't see anyone express the viewpoint ""I think BTC will absorb all value and that's a big tragedy""",en,[],[],[],2,0,7,[],[],https://twitter.com/VitalikButerin/status/1319159434489155584,False,,0,,,,,,,,"[{'screen_name': 'eric_lombrozo', 'name': '👑', 'id': '729548255470575616'}, {'screen_name': 'danheld', 'name': 'Dan Held', 'id': '1598709350'}]",,,,
1318898980026118145,1318898980026118145,2020-10-21 07:56:35 Central Daylight Time,2020-10-21,07:56:35,-0500,295218901,vitalikbuterin,vitalik.eth,,"PayPal customers will be able to use BTC, ETH and other cryptos to pay merchants.   https://t.co/6qhkVuEyF4  Welcome to the @ethereum ecosystem, @PayPal!",en,"[{'screen_name': 'ethereum', 'name': 'ethereum', 'id': '2312333412'}, {'screen_name': 'paypal', 'name': 'paypal', 'id': '30018058'}]",['https://www.finextra.com/newsarticle/36795/paypal-to-support-cryptocurrency-across-it-consumer-and-merchant-network'],[],300,1968,7614,[],[],https://twitter.com/VitalikButerin/status/1318898980026118145,False,,0,,,,,,,,[],,,,
1311521403812814848,1311490598445019137,2020-09-30 23:20:44 Central Daylight Time,2020-09-30,23:20:44,-0500,295218901,vitalikbuterin,vitalik.eth,,"@awayslice There are many versions of USD, BTC and ETH on ethereum. Whichever you consider money you can use!",en,[],[],[],2,0,24,[],[],https://twitter.com/VitalikButerin/status/1311521403812814848,False,,0,,,,,,,,"[{'screen_name': 'awayslice', 'name': 'el ɘɔilƨγɒwɒ', 'id': '109913253'}]",,,,
1306226016377909249,1306209377842495489,2020-09-16 08:38:45 Central Daylight Time,2020-09-16,08:38:45,-0500,295218901,vitalikbuterin,vitalik.eth,,"@BlockGeekDima @alexblue_99 @Bitcoin @ethereum Ah, but does it have constant-product post-neoliberal sharded hydroxychloroquine yield farming?",en,[],[],[],4,1,19,[],[],https://twitter.com/VitalikButerin/status/1306226016377909249,False,,0,,,,,,,,"[{'screen_name': 'BlockGeekDima', 'name': 'Dima ButΞrin', 'id': '14628341'}, {'screen_name': 'alexblue_99', 'name': 'Alejandro', 'id': '868124533479395329'}, {'screen_name': 'Bitcoin', 'name': 'Bitcoin', 'id': '357312062'}, {'screen_name': 'ethereum', 'name': 'Ethereum', 'id': '2312333412'}]",,,,
1305118252217982977,1305117580550520834,2020-09-13 07:16:53 Central Daylight Time,2020-09-13,07:16:53,-0500,295218901,vitalikbuterin,vitalik.eth,,@Degenify The choice of BTC was deliberate; I'm trying out a hypothesis that bitcoin people specifically are more likely to interpret me as a socialist,en,[],[],[],14,4,35,[],[],https://twitter.com/VitalikButerin/status/1305118252217982977,False,,0,,,,,,,,"[{'screen_name': 'Degenify', 'name': 'DegenYFI', 'id': '1296818644421419008'}]",,,,
1305117580550520834,1305117580550520834,2020-09-13 07:14:13 Central Daylight Time,2020-09-13,07:14:13,-0500,295218901,vitalikbuterin,vitalik.eth,,Let me try a correlation poll.  1. Do you hold any BTC? (Y/N) 2. Do the ideas that I promote and seem to hold tend to be more capitalist (C) or socialist (S)?,en,[],[],[],65,27,151,[],[],https://twitter.com/VitalikButerin/status/1305117580550520834,False,,0,,,,,,,,[],,,,
