id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1357304428861267969,1357301883371716608,2021-02-04 06:26:07 Central Standard Time,2021-02-04,06:26:07,-0500,918804624303382528,100trillionusd,PlanB,,"@KellerTrading BTC is the real thing, #bitcoin  BCH is a scam, and so is BSV. Like many of the scammers that comment under this tweet with free airdrops and giveaways, ignore, delete, block BCH and BSV.",en,[],[],[],2,4,100,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1357304428861267969,False,,0,,,,,,,,"[{'screen_name': 'KellerTrading', 'name': 'Sam', 'id': '462524480'}]",,,,
1356283916995485701,1356249423521710081,2021-02-01 10:50:59 Central Standard Time,2021-02-01,10:50:59,-0500,918804624303382528,100trillionusd,PlanB,,"@AlvaroMusach @mir_btc @RadarRayne Yes, the first chart has more emotional charge for me because it has the eureka moment energy. The second chart is ""scientifically"" more evolved, the state of the art.",en,[],[],[],1,1,7,[],[],https://twitter.com/100trillionUSD/status/1356283916995485701,False,,0,,,,,,,,"[{'screen_name': 'AlvaroMusach', 'name': 'Alvaro Musach', 'id': '881502645978112000'}, {'screen_name': 'mir_btc', 'name': '\U0001f90c 🟩 MIR ⚡ \U0001f90c', 'id': '73159668'}, {'screen_name': 'RadarRayne', 'name': 'Petek 🌌🌖', 'id': '1130764305610215424'}]",,,,
1356280711301509129,1356249423521710081,2021-02-01 10:38:14 Central Standard Time,2021-02-01,10:38:14,-0500,918804624303382528,100trillionusd,PlanB,,"@AlvaroMusach @mir_btc @RadarRayne First chart with 2 lines/formulae was the first incarnation, the eureka moment, S2FX model in the making  Later I was able to merge the 2 formulae into 1, S2FX model. Silver was based on wrong data in the first chart, diamond investors improved diamond S2F and I disregarded S2F&lt;1",en,[],[],[],1,0,6,[],[],https://twitter.com/100trillionUSD/status/1356280711301509129,False,,0,,,,,,,,"[{'screen_name': 'AlvaroMusach', 'name': 'Alvaro Musach', 'id': '881502645978112000'}, {'screen_name': 'mir_btc', 'name': '\U0001f90c 🟩 MIR ⚡ \U0001f90c', 'id': '73159668'}, {'screen_name': 'RadarRayne', 'name': 'Petek 🌌🌖', 'id': '1130764305610215424'}]",,,,
1356256824119484418,1356249423521710081,2021-02-01 09:03:19 Central Standard Time,2021-02-01,09:03:19,-0500,918804624303382528,100trillionusd,PlanB,,"@mir_btc @RadarRayne 🙏 It is based on this data/math-chart. Literally art meets science, different interpretation, same energy!  https://t.co/PfbuK5k3qU",en,[],[],['https://pbs.twimg.com/media/EtJjlI-WMAEraAO.jpg'],4,3,36,[],[],https://twitter.com/100trillionUSD/status/1356256824119484418,False,,1,https://pbs.twimg.com/media/EtJjlI-WMAEraAO.jpg,,,,,,,"[{'screen_name': 'mir_btc', 'name': '\U0001f90c 🟩 MIR ⚡ \U0001f90c', 'id': '73159668'}, {'screen_name': 'RadarRayne', 'name': 'Petek 🌌🌖', 'id': '1130764305610215424'}]",,,,
1355473665362690050,1355473665362690050,2021-01-30 05:11:19 Central Standard Time,2021-01-30,05:11:19,-0500,918804624303382528,100trillionusd,PlanB,,#bitcoin / S&amp;P500 to cross the line again?  S&amp;P-implied BTC price = $60K  https://t.co/rRMgYCAXsM,en,[],[],['https://pbs.twimg.com/media/Es-bn-oXcAYJJyL.png'],90,420,2925,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1355473665362690050,False,,1,https://pbs.twimg.com/media/Es-bn-oXcAYJJyL.png,,,,,,,[],,,,
1354832499357208578,1354832499357208578,2021-01-28 10:43:34 Central Standard Time,2021-01-28,10:43:34,-0500,918804624303382528,100trillionusd,PlanB,,"Do you think #bitcoin will reach $288K (S2FX model), $100K (S2Fv2 model), $55K (S2Fv1 model) before December 2021 .. or will BTC stay below $55K?",en,[],[],[],113,120,666,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1354832499357208578,False,,0,,,,,,,,[],,,,
1354787988966932484,1354753532507942914,2021-01-28 07:46:41 Central Standard Time,2021-01-28,07:46:41,-0500,918804624303382528,100trillionusd,PlanB,,@DeepBlueCrypto Even bigger short squeeze in the world $BTC Bitcoin $30K to $5M (because central banks are naked short selling value with QE / Brrrr),en,[],[],[],2,4,26,[],['btc'],https://twitter.com/100trillionUSD/status/1354787988966932484,False,,0,,,,,,,,"[{'screen_name': 'DeepBlueCrypto', 'name': '🌋🌋 DeepBlueCrypto 🌋🌋', 'id': '44628092'}]",,,,
1354753532507942914,1354753532507942914,2021-01-28 05:29:46 Central Standard Time,2021-01-28,05:29:46,-0500,918804624303382528,100trillionusd,PlanB,,"$GME short squeeze shows the power of HODL. Imagine what we can do with #bitcoin. You ain't seen nothing yet. Short squeeze QE🌪️ ✅ Don't sell, never sell, just HODL ✅ Get your BTC off exchanges and in your own wallet (because then nobody can use your bitcoin for short selling)  https://t.co/7tjcd92rZD",en,[],[],['https://pbs.twimg.com/media/Es0LTz3W8AECeKZ.png'],132,832,4384,['bitcoin'],['gme'],https://twitter.com/100trillionUSD/status/1354753532507942914,False,,1,https://pbs.twimg.com/media/Es0LTz3W8AECeKZ.png,,,,,,,[],,,,
1353324777528811522,1353324777528811522,2021-01-24 06:52:25 Central Standard Time,2021-01-24,06:52:25,-0500,918804624303382528,100trillionusd,PlanB,,"If history is any guidance and #bitcoin continues it's current trajectory, BTC could be $100K somewhere between April and September  https://t.co/z30OjEikTU",en,[],[],['https://pbs.twimg.com/media/Esf5RxnXcAIl-8v.jpg'],288,1230,6155,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1353324777528811522,False,,1,https://pbs.twimg.com/media/Esf5RxnXcAIl-8v.jpg,,,,,,,[],,,,
1352280602721058819,1352280602721058819,2021-01-21 09:43:14 Central Standard Time,2021-01-21,09:43:14,-0500,918804624303382528,100trillionusd,PlanB,,"$31.5K #bitcoin feels low compared to $40K ... but did you really expect BTC price to front-run S2F model already? S2F model is right on track, like clockwork. Patience!  https://t.co/3tSKimxqlH",en,[],[],['https://pbs.twimg.com/media/EsRC3SzW4AALUyt.png'],294,1574,8451,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1352280602721058819,False,,1,https://pbs.twimg.com/media/EsRC3SzW4AALUyt.png,,,,,,,[],,,,
1350416719148445696,1350377579753123840,2021-01-16 06:16:50 Central Standard Time,2021-01-16,06:16:50,-0500,918804624303382528,100trillionusd,PlanB,,"@boogied767 Of course I read it.I had a good laugh, it is complete bullshit (but well written). I could have written it myself if I was a big buyer wanting btc price a little lower during my sourcing.",en,[],[],[],2,1,37,[],[],https://twitter.com/100trillionUSD/status/1350416719148445696,False,,0,,,,,,,,"[{'screen_name': 'boogied767', 'name': 'BitcoinHollander⚡️(boogied@bitcoinhackers.org)', 'id': '133627750'}]",,,,
1350414544007557121,1350359016694800384,2021-01-16 06:08:11 Central Standard Time,2021-01-16,06:08:11,-0500,918804624303382528,100trillionusd,PlanB,,@Worteltje_Pi @JeeeVeee But BTC is currently (red line) OVER (not under) that 2017 line (light blue) .. by a factor 2 I might add.,en,[],[],[],1,0,0,[],[],https://twitter.com/100trillionUSD/status/1350414544007557121,False,,0,,,,,,,,"[{'screen_name': 'JeeeVeee', 'name': 'J€rro$', 'id': '1166785364'}]",,,,
1350394720153985026,1350377579753123840,2021-01-16 04:49:25 Central Standard Time,2021-01-16,04:49:25,-0500,918804624303382528,100trillionusd,PlanB,,"@Polylunar_ @nic__carter You do not understand ""tether does not cause btc price, but btc price causes tether""???",en,[],[],[],4,0,14,[],[],https://twitter.com/100trillionUSD/status/1350394720153985026,False,,0,,,,,,,,"[{'screen_name': 'Polylunar_', 'name': 'Polylunar', 'id': '998129792439349253'}, {'screen_name': 'nic__carter', 'name': 'nic carter', 'id': '420308365'}]",,,,
1348249835972005888,1348249835972005888,2021-01-10 06:46:24 Central Standard Time,2021-01-10,06:46:24,-0500,918804624303382528,100trillionusd,PlanB,,"If you really think Tether bullshit and Mt.Gox FUD is bigger than QE / central bank money printing, then you are doing it wrong; sell your BTC to Grayscale, Paypal, Cashapp, UHWNI's and hedge funds, and get out of the game.  https://t.co/u4v1KXaFKt",en,[],[],['https://pbs.twimg.com/media/ErXxNOeXMAEabH_.png'],121,540,3324,[],[],https://twitter.com/100trillionUSD/status/1348249835972005888,False,,1,https://pbs.twimg.com/media/ErXxNOeXMAEabH_.png,,,,,,,[],,,,
1348232801099853827,1348227855772229635,2021-01-10 05:38:43 Central Standard Time,2021-01-10,05:38:43,-0500,918804624303382528,100trillionusd,PlanB,,"@BusinessPartnrs Yes tether bullshit is the stuff that MSM could spin into 'bitcoin dies'-stories, that causes weak hands to sell. But people with a brain know that tether has no material impact on bitcoin. Grayscale, Cashapp, Paypal, UHNWI's, hedge funds don't use tether to buy BTC. Tether is BS",en,[],[],[],16,36,418,[],[],https://twitter.com/100trillionUSD/status/1348232801099853827,False,,0,,,,,,,,"[{'screen_name': 'BusinessPartnrs', 'name': 'BusinessPartners', 'id': '223679734'}]",,,,
1348227855772229635,1348227855772229635,2021-01-10 05:19:04 Central Standard Time,2021-01-10,05:19:04,-0500,918804624303382528,100trillionusd,PlanB,,"Correction, or no correction, that is the question. 2013 correction when the US government cracked down on Mt.Gox and seized accounts. 2017 corrections after Bitfinex hack, SEC ETF denial and BCH fork. Today Grayscale, Paypal, Cashapp each buy more BTC every day than are mined.  https://t.co/m3A4RscRDI",en,[],[],['https://pbs.twimg.com/media/ErXbuPDXcAAI4gP.png'],132,523,3066,[],[],https://twitter.com/100trillionUSD/status/1348227855772229635,False,,1,https://pbs.twimg.com/media/ErXbuPDXcAAI4gP.png,,,,,,,[],,,,
1347592342484750339,1347494813608931329,2021-01-08 11:13:46 Central Standard Time,2021-01-08,11:13:46,-0500,918804624303382528,100trillionusd,PlanB,,@Dlife01 faster than expected? btc is right on track. I expect $288K by Dec 2021 so we have a long way to go,en,[],[],[],6,3,56,[],[],https://twitter.com/100trillionUSD/status/1347592342484750339,False,,0,,,,,,,,"[{'screen_name': 'Dlife01', 'name': 'Dieter Benoot', 'id': '138682396'}]",,,,
1346818056832610306,1346745456861327360,2021-01-06 07:57:02 Central Standard Time,2021-01-06,07:57:02,-0500,918804624303382528,100trillionusd,PlanB,,"@kaly_raman @mxt_prime It is not a narrative, but a fact that all three companies mentioned above each buy more bitcoins every day than miners are producing. So they have to bid these BTC out of the hands of more and more hard core hodler (who NEVER sell, like me).",en,[],[],[],5,2,51,[],[],https://twitter.com/100trillionUSD/status/1346818056832610306,False,,0,,,,,,,,"[{'screen_name': 'kaly_raman', 'name': 'Kalyan Raman', 'id': '1186262036'}, {'screen_name': 'mxt_prime', 'name': 'mxt_7887', 'id': '1282277889547935745'}]",,,,
